,precio,ventas,titulo,total_opiniones,etiqueta_opiniones,etiqueta_precio,etiqueta_ventas,moto,samsung,tcl,xiaomi,iphone,lg,sony,nokia,huawei,blackberry,otros
0,184989,4,"iPhone X 256 GB Gris espacial 3 GB RAM,iPhone X 256 GB Gris espacial 3 GB RAM",86,1.0,2,1,0,0,0,0,1,0,0,0,0,0,0
1,28999,27,"Samsung Galaxy A30 32 GB Blanco 3 GB RAM,Samsung Galaxy A30 32 GB Blanco 3 GB RAM",1581,4.0,0,2,0,1,0,0,0,0,0,0,0,0,0
2,2199,61,"Sky Devices Panda Dual SIM 32 MB Negro 32 MB RAM,Sky Devices Panda Dual SIM 32 MB Negro 32 MB RAM",101,1.0,0,2,0,0,0,0,0,0,0,0,0,0,1
3,109989,3,"iPhone 7 128 GB Oro rosa 2 GB RAM,iPhone 7 128 GB Oro rosa 2 GB RAM",472,3.0,1,1,0,0,0,0,1,0,0,0,0,0,0
4,16900,7,"Samsung Galaxy J2 Core 16 GB Negro 1 GB RAM,Samsung Galaxy J2 Core 16 GB Negro 1 GB RAM",2078,4.0,0,2,0,1,0,0,0,0,0,0,0,0,0
5,13099,245,"Samsung Galaxy J2 Core 8 GB Negro 1 GB RAM,Samsung Galaxy J2 Core 8 GB Negro 1 GB RAM",2078,4.0,0,2,0,1,0,0,0,0,0,0,0,0,0
6,44999,28,"Moto Z3 Play 64 GB Índigo oscuro 4 GB RAM,Moto Z3 Play 64 GB Índigo oscuro 4 GB RAM",185,2.0,1,2,1,0,0,0,0,0,0,0,0,0,0
7,126000,3,"iPhone 7 Plus 256 GB Negro mate 3 GB RAM,iPhone 7 Plus 256 GB Negro mate 3 GB RAM",457,3.0,2,1,0,0,0,0,1,0,0,0,0,0,0
8,48999,1,"Xiaomi Redmi Note 8 Dual SIM 128 GB Negro espacial 4 GB RAM,Xiaomi Redmi Note 8 Dual SIM 128 GB Negro espacial 4 GB RAM",240,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0
9,150000,1,"iPhone XS Max Dual SIM 64 GB Gris espacial 4 GB RAM,iPhone XS Max Dual SIM 64 GB Gris espacial 4 GB RAM",22,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0
10,54100,9,"Xiaomi Mi 9 Lite Dual SIM 64 GB Azul aurora 6 GB RAM,Xiaomi Mi 9 Lite Dual SIM 64 GB Azul aurora 6 GB RAM",141,2.0,1,2,0,0,0,1,0,0,0,0,0,0,0
11,52900,2,"Xiaomi Mi 9T Dual SIM 64 GB Azul glaciar 6 GB RAM,Xiaomi Mi 9T Dual SIM 64 GB Azul glaciar 6 GB RAM",295,3.0,1,1,0,0,0,1,0,0,0,0,0,0,0
12,184989,1,"iPhone XS 512 GB Gris espacial 4 GB RAM,iPhone XS 512 GB Gris espacial 4 GB RAM",17,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0
13,269999,1,"iPhone 8 Plus 256 GB Gris espacial 3 GB RAM,iPhone 8 Plus 256 GB Gris espacial 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
14,57000,12,"Samsung Galaxy A50 64 GB Blanco 4 GB RAM,Samsung Galaxy A50 64 GB Blanco 4 GB RAM",610,4.0,1,2,0,1,0,0,0,0,0,0,0,0,0
15,46990,2,"Samsung Galaxy A50 128 GB Negro 4 GB RAM,Samsung Galaxy A50 128 GB Negro 4 GB RAM",610,4.0,1,1,0,1,0,0,0,0,0,0,0,0,0
16,52900,2,"Xiaomi Mi 9T Dual SIM 64 GB Azul glaciar 6 GB RAM,Xiaomi Mi 9T Dual SIM 64 GB Azul glaciar 6 GB RAM",295,3.0,1,1,0,0,0,1,0,0,0,0,0,0,0
17,52900,2,"Xiaomi Mi 9T Dual SIM 64 GB Azul glaciar 6 GB RAM,Xiaomi Mi 9T Dual SIM 64 GB Azul glaciar 6 GB RAM",295,3.0,1,1,0,0,0,1,0,0,0,0,0,0,0
18,46990,2,"Samsung Galaxy A50 128 GB Negro 4 GB RAM,Samsung Galaxy A50 128 GB Negro 4 GB RAM",610,4.0,1,1,0,1,0,0,0,0,0,0,0,0,0
19,46990,2,"Samsung Galaxy A50 128 GB Negro 4 GB RAM,Samsung Galaxy A50 128 GB Negro 4 GB RAM",610,4.0,1,1,0,1,0,0,0,0,0,0,0,0,0
20,46990,2,"Samsung Galaxy A50 128 GB Negro 4 GB RAM,Samsung Galaxy A50 128 GB Negro 4 GB RAM",610,4.0,1,1,0,1,0,0,0,0,0,0,0,0,0
21,46990,2,"Samsung Galaxy A50 128 GB Negro 4 GB RAM,Samsung Galaxy A50 128 GB Negro 4 GB RAM",610,4.0,1,1,0,1,0,0,0,0,0,0,0,0,0
22,57000,12,"Samsung Galaxy A50 64 GB Blanco 4 GB RAM,Samsung Galaxy A50 64 GB Blanco 4 GB RAM",610,4.0,1,2,0,1,0,0,0,0,0,0,0,0,0
23,57000,12,"Samsung Galaxy A50 64 GB Blanco 4 GB RAM,Samsung Galaxy A50 64 GB Blanco 4 GB RAM",610,4.0,1,2,0,1,0,0,0,0,0,0,0,0,0
24,46990,2,"Samsung Galaxy A50 128 GB Negro 4 GB RAM,Samsung Galaxy A50 128 GB Negro 4 GB RAM",610,4.0,1,1,0,1,0,0,0,0,0,0,0,0,0
25,46990,2,"Samsung Galaxy A50 128 GB Negro 4 GB RAM,Samsung Galaxy A50 128 GB Negro 4 GB RAM",610,4.0,1,1,0,1,0,0,0,0,0,0,0,0,0
26,57000,12,"Samsung Galaxy A50 64 GB Blanco 4 GB RAM,Samsung Galaxy A50 64 GB Blanco 4 GB RAM",610,4.0,1,2,0,1,0,0,0,0,0,0,0,0,0
27,52900,2,"Xiaomi Mi 9T Dual SIM 64 GB Azul glaciar 6 GB RAM,Xiaomi Mi 9T Dual SIM 64 GB Azul glaciar 6 GB RAM",295,3.0,1,1,0,0,0,1,0,0,0,0,0,0,0
28,52900,2,"Xiaomi Mi 9T Dual SIM 64 GB Azul glaciar 6 GB RAM,Xiaomi Mi 9T Dual SIM 64 GB Azul glaciar 6 GB RAM",295,3.0,1,1,0,0,0,1,0,0,0,0,0,0,0
29,57000,12,"Samsung Galaxy A50 64 GB Blanco 4 GB RAM,Samsung Galaxy A50 64 GB Blanco 4 GB RAM",610,4.0,1,2,0,1,0,0,0,0,0,0,0,0,0
30,57000,12,"Samsung Galaxy A50 64 GB Blanco 4 GB RAM,Samsung Galaxy A50 64 GB Blanco 4 GB RAM",610,4.0,1,2,0,1,0,0,0,0,0,0,0,0,0
31,269999,1,"iPhone 8 Plus 256 GB Gris espacial 3 GB RAM,iPhone 8 Plus 256 GB Gris espacial 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
32,269999,1,"iPhone 8 Plus 256 GB Gris espacial 3 GB RAM,iPhone 8 Plus 256 GB Gris espacial 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
33,139989,1,"iPhone 8 Plus 64 GB Plata 3 GB RAM,iPhone 8 Plus 64 GB Plata 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
34,139989,1,"iPhone 8 Plus 64 GB PRODUCT(RED) 3 GB RAM,iPhone 8 Plus 64 GB PRODUCT(RED) 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
35,139989,1,"iPhone 8 Plus 64 GB PRODUCT(RED) 3 GB RAM,iPhone 8 Plus 64 GB PRODUCT(RED) 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
36,139989,1,"iPhone 8 Plus 64 GB Oro 3 GB RAM,iPhone 8 Plus 64 GB Oro 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
37,139989,9,"iPhone 8 Plus 64 GB Gris espacial 3 GB RAM,iPhone 8 Plus 64 GB Gris espacial 3 GB RAM",146,2.0,2,2,0,0,0,0,1,0,0,0,0,0,0
38,139989,1,"iPhone 8 Plus 64 GB Plata 3 GB RAM,iPhone 8 Plus 64 GB Plata 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
39,139989,1,"iPhone 8 Plus 64 GB Plata 3 GB RAM,iPhone 8 Plus 64 GB Plata 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
40,139989,1,"iPhone 8 Plus 64 GB Plata 3 GB RAM,iPhone 8 Plus 64 GB Plata 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
41,139989,1,"iPhone 8 Plus 64 GB Oro 3 GB RAM,iPhone 8 Plus 64 GB Oro 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
42,139989,1,"iPhone 8 Plus 64 GB Plata 3 GB RAM,iPhone 8 Plus 64 GB Plata 3 GB RAM",146,2.0,2,0,0,0,0,0,1,0,0,0,0,0,0
